Electrode,Time,rawTimeSeries-NoLineNoise,bpThetaTimeSeries,bpGammaTimeSeries,thetaAngle,thetaPower,gammaAngle,gammaPower,BinEdgesThetaAngle,AveGammaPower,SpectrogramTime,SpectrogramFreq,SpectrogramPower
mL_AH1,0.001,-15.760,-3.280,-0.498,1.739,386.143,1.861,3.028,0.025,10.160,1.000,0.000,5971.579
mL_AH1,0.002,-14.264,-3.422,-0.958,1.878,127.830,2.096,3.656,0.088,10.074,1.000,0.488,3907.374
mL_AH1,0.003,-15.139,-3.551,-1.335,1.886,131.370,2.375,3.437,0.151,10.133,1.000,0.977,3479.490
mL_AH1,0.004,-17.386,-3.667,-1.602,1.998,78.471,2.616,3.428,0.215,10.469,1.000,1.465,3934.685
mL_AH1,0.005,-16.568,-3.770,-1.742,2.005,80.245,2.893,3.229,0.278,10.383,1.000,1.953,2502.973
mL_AH1,0.006,-18.863,-3.858,-1.750,2.112,56.003,-3.142,3.062,0.341,10.295,1.000,2.441,4616.389
mL_AH1,0.007,-14.420,-3.931,-1.631,2.119,56.856,-2.864,2.876,0.405,10.521,1.000,2.930,1790.076
mL_AH1,0.008,-19.163,-3.989,-1.401,2.226,42.828,-2.608,2.648,0.468,10.492,1.000,3.418,1227.002
mL_AH1,0.009,-16.952,-4.031,-1.085,2.232,43.103,-2.332,2.474,0.531,10.330,1.000,3.906,2689.125
mL_AH1,0.010,-15.577,-4.057,-0.712,2.340,34.028,-2.067,2.234,0.595,10.514,1.000,4.395,2781.921
mL_AH1,0.011,-20.258,-4.067,-0.316,2.344,33.910,-1.792,2.070,0.658,10.409,1.000,4.883,1368.909
mL_AH1,0.012,-16.247,-4.062,0.069,2.453,27.654,-1.520,1.843,0.721,10.105,1.000,5.371,2644.732
mL_AH1,0.013,-19.188,-4.040,0.412,2.456,27.259,-1.248,1.685,0.784,10.273,1.000,5.859,4646.016
mL_AH1,0.014,-12.765,-4.004,0.688,2.566,22.772,-0.970,1.483,0.848,10.239,1.000,6.348,3509.448
mL_AH1,0.015,-13.206,-3.952,0.881,2.567,22.180,-0.701,1.328,0.911,10.190,1.000,6.836,685.377
mL_AH1,0.016,-12.787,-3.886,0.981,2.678,18.878,-0.420,1.155,0.974,10.228,1.000,7.324,1735.451
mL_AH1,0.017,-11.014,-3.806,0.991,2.676,18.150,-0.153,1.005,1.038,9.954,1.000,7.813,1896.196
mL_AH1,0.018,-10.071,-3.714,0.919,2.787,15.677,0.128,0.858,1.101,9.847,1.000,8.301,2776.257
mL_AH1,0.019,-12.859,-3.609,0.782,2.782,14.863,0.393,0.717,1.164,10.155,1.000,8.789,1814.538
mL_AH1,0.020,-12.664,-3.494,0.603,2.894,12.986,0.673,0.594,1.228,9.972,1.000,9.277,245.834
mL_AH1,0.021,-17.096,-3.368,0.405,2.885,12.126,0.938,0.468,1.291,9.629,1.000,9.766,361.721
mL_AH1,0.022,-19.433,-3.235,0.212,2.996,10.689,1.213,0.367,1.354,9.610,1.000,10.254,260.085
mL_AH1,0.023,-16.452,-3.094,0.046,2.983,9.817,1.482,0.265,1.417,9.552,1.000,10.742,619.546
mL_AH1,0.024,-12.541,-2.947,-0.078,3.091,8.707,1.752,0.188,1.481,9.123,1.000,11.230,407.672
mL_AH1,0.025,-8.999,-2.796,-0.151,3.072,7.857,2.029,0.116,1.544,8.933,1.000,11.719,361.976
mL_AH1,0.026,-9.390,-2.643,-0.170,-3.105,6.993,2.294,0.066,1.607,8.761,1.000,12.207,1185.667
mL_AH1,0.027,-10.778,-2.488,-0.142,-3.133,6.191,2.598,0.027,1.671,8.371,1.000,12.695,1457.538
mL_AH1,0.028,-8.067,-2.334,-0.077,-3.031,5.515,2.879,0.006,1.734,8.267,1.000,13.184,1312.732
mL_AH1,0.029,-14.131,-2.182,0.008,-3.070,4.786,-0.963,0.000,1.797,8.389,1.000,13.672,486.324
mL_AH1,0.030,-9.360,-2.034,0.094,-2.975,4.256,0.130,0.009,1.861,8.434,1.000,14.160,877.560
mL_AH1,0.031,-7.468,-1.892,0.162,-3.030,3.625,0.406,0.031,1.924,8.277,1.000,14.648,987.464
mL_AH1,0.032,-7.638,-1.757,0.197,-2.945,3.210,0.708,0.067,1.987,8.249,1.000,15.137,707.394
mL_AH1,0.033,-6.775,-1.631,0.186,-3.023,2.697,0.978,0.111,2.050,8.106,1.000,15.625,1226.465
mL_AH1,0.034,-4.544,-1.515,0.125,-2.953,2.379,1.260,0.169,2.114,7.913,1.000,16.113,716.216
mL_AH1,0.035,-4.167,-1.411,0.016,-3.065,2.003,1.537,0.228,2.177,7.850,1.000,16.602,868.189
mL_AH1,0.036,-6.184,-1.321,-0.133,-3.015,1.772,1.815,0.299,2.240,7.753,1.000,17.090,1003.228
mL_AH1,0.037,-4.556,-1.245,-0.305,3.115,1.550,2.098,0.368,2.304,7.673,1.000,17.578,936.295
mL_AH1,0.038,-4.632,-1.185,-0.482,3.138,1.404,2.378,0.446,2.367,7.811,1.000,18.066,1121.298
mL_AH1,0.039,-3.877,-1.142,-0.641,2.952,1.352,2.666,0.520,2.430,7.798,1.000,18.555,833.826
mL_AH1,0.040,-3.132,-1.117,-0.760,2.952,1.294,2.948,0.600,2.494,7.555,1.000,19.043,524.505
mL_AH1,0.041,-5.227,-1.111,-0.819,2.766,1.426,-3.042,0.678,2.557,7.158,1.000,19.531,688.367
mL_AH1,0.042,-3.297,-1.125,-0.805,2.762,1.466,-2.756,0.755,2.620,6.824,1.000,20.020,536.586
mL_AH1,0.043,-6.600,-1.158,-0.711,2.616,1.795,-2.461,0.836,2.683,6.818,1.000,20.508,330.304
mL_AH1,0.044,-4.497,-1.213,-0.538,2.624,1.948,-2.170,0.910,2.747,7.101,1.000,20.996,240.691
mL_AH1,0.045,-7.126,-1.288,-0.298,2.527,2.483,-1.874,0.994,2.810,7.116,1.000,21.484,441.462
mL_AH1,0.046,-8.681,-1.383,-0.009,2.552,2.769,-1.579,1.068,2.873,6.815,1.000,21.973,647.718
mL_AH1,0.047,-1.522,-1.499,0.304,2.496,3.521,-1.284,1.153,2.937,6.803,1.000,22.461,303.784
mL_AH1,0.048,-1.974,-1.636,0.611,2.535,3.962,-0.986,1.226,3.000,6.700,1.000,22.949,299.722
mL_AH1,0.049,-3.707,-1.791,0.882,2.508,4.938,-0.691,1.310,3.063,6.573,1.000,23.438,398.291
mL_AH1,0.050,-0.791,-1.966,1.088,2.557,5.561,-0.392,1.386,3.127,6.458,1.000,23.926,595.685
mL_AH1,0.051,-3.585,-2.159,1.205,2.550,6.769,-0.097,1.465,3.190,6.261,1.000,24.414,732.006
mL_AH1,0.052,-0.488,-2.369,1.216,2.604,7.601,0.202,1.542,3.253,6.352,1.000,24.902,582.168
mL_AH1,0.053,3.016,-2.594,1.117,2.611,9.045,0.498,1.615,3.316,6.481,1.000,25.391,538.637
mL_AH1,0.054,0.895,-2.833,0.909,2.670,10.117,0.797,1.691,3.380,6.402,1.000,25.879,647.455
mL_AH1,0.055,-0.355,-3.085,0.608,2.686,11.801,1.094,1.757,3.443,6.488,1.000,26.367,409.423
mL_AH1,0.056,-1.255,-3.347,0.239,2.747,13.144,1.393,1.832,3.506,6.543,1.000,26.855,279.057
mL_AH1,0.057,-4.780,-3.618,-0.167,2.770,15.072,1.693,1.893,3.570,6.595,1.000,27.344,19.220
mL_AH1,0.058,-6.916,-3.895,-0.574,2.833,16.715,1.992,1.966,3.633,6.490,1.000,27.832,577.653
mL_AH1,0.059,-10.086,-4.177,-0.942,2.862,18.889,2.294,2.027,3.696,6.097,1.000,28.320,551.283
mL_AH1,0.060,-8.930,-4.461,-1.237,2.925,20.863,2.594,2.098,3.760,6.201,1.000,28.809,371.029
mL_AH1,0.061,-7.163,-4.745,-1.427,2.958,23.285,2.897,2.164,3.823,6.362,1.000,29.297,280.658
mL_AH1,0.062,-8.701,-5.025,-1.493,3.022,25.617,-3.085,2.238,3.886,6.186,1.000,29.785,504.813
mL_AH1,0.063,-11.164,-5.300,-1.424,3.059,28.287,-2.781,2.316,3.949,6.283,1.000,30.273,426.150
mL_AH1,0.064,-9.885,-5.567,-1.221,3.122,31.004,-2.480,2.396,4.013,6.255,1.000,30.762,274.610
mL_AH1,0.065,-9.575,-5.823,-0.899,-3.122,33.922,-2.177,2.490,4.076,6.354,1.000,31.250,188.489
mL_AH1,0.066,-9.355,-6.066,-0.483,-3.058,37.046,-1.876,2.582,4.139,6.501,1.000,31.738,355.396
mL_AH1,0.067,-6.279,-6.292,-0.008,-3.017,40.211,-1.576,2.694,4.203,6.333,1.000,32.227,423.713
mL_AH1,0.068,-7.433,-6.499,0.486,-2.954,43.764,-1.277,2.802,4.266,6.419,1.000,32.715,150.229
mL_AH1,0.069,-5.754,-6.685,0.954,-2.910,47.174,-0.979,2.930,4.329,6.642,1.000,33.203,393.656
mL_AH1,0.070,-3.948,-6.847,1.356,-2.848,51.169,-0.683,3.055,4.393,6.732,1.000,33.691,574.723
mL_AH1,0.071,-8.877,-6.983,1.654,-2.803,54.824,-0.390,3.196,4.456,6.609,1.000,34.180,68.100
mL_AH1,0.072,-9.669,-7.089,1.818,-2.741,59.273,-0.096,3.337,4.519,6.587,1.000,34.668,374.244
mL_AH1,0.073,-8.555,-7.165,1.832,-2.694,63.168,0.193,3.483,4.582,6.595,1.000,35.156,106.791
mL_AH1,0.074,-9.263,-7.207,1.689,-2.633,68.077,0.482,3.635,4.646,6.667,1.000,35.645,135.218
mL_AH1,0.075,-9.676,-7.214,1.399,-2.585,72.210,0.768,3.783,4.709,7.147,1.000,36.133,117.389
mL_AH1,0.076,-9.353,-7.184,0.982,-2.525,77.580,1.053,3.940,4.772,7.232,1.000,36.621,361.474
mL_AH1,0.077,-9.750,-7.115,0.470,-2.475,81.946,1.336,4.084,4.836,7.124,1.000,37.109,255.586
mL_AH1,0.078,-10.060,-7.006,-0.097,-2.416,87.771,1.618,4.239,4.899,7.710,1.000,37.598,118.624
mL_AH1,0.079,-11.598,-6.856,-0.673,-2.365,92.366,1.898,4.376,4.962,8.098,1.000,38.086,330.542
mL_AH1,0.080,-10.113,-6.663,-1.211,-2.306,98.637,2.177,4.523,5.026,8.084,1.000,38.574,242.546
mL_AH1,0.081,-11.400,-6.428,-1.668,-2.255,103.455,2.455,4.652,5.089,8.994,1.000,39.063,173.233
mL_AH1,0.082,-15.387,-6.148,-2.006,-2.197,110.155,2.731,4.785,5.152,9.689,1.000,39.551,109.734
mL_AH1,0.083,-11.454,-5.825,-2.195,-2.145,115.190,3.007,4.907,5.215,9.334,1.000,40.039,195.438
mL_AH1,0.084,-13.254,-5.458,-2.220,-2.087,122.298,-3.002,5.024,5.279,9.636,1.000,40.527,101.139
mL_AH1,0.085,-10.422,-5.047,-2.075,-2.034,127.543,-2.728,5.136,5.342,9.548,1.000,41.016,280.776
mL_AH1,0.086,-11.006,-4.593,-1.771,-1.977,135.031,-2.456,5.236,5.405,9.015,1.000,41.504,264.609
mL_AH1,0.087,-11.099,-4.096,-1.330,-1.924,140.476,-2.184,5.338,5.469,9.259,1.000,41.992,288.850
mL_AH1,0.088,-6.458,-3.558,-0.784,-1.867,148.312,-1.914,5.420,5.532,9.085,1.000,42.480,216.381
mL_AH1,0.089,-3.268,-2.980,-0.173,-1.813,153.950,-1.645,5.508,5.595,8.804,1.000,42.969,76.993
mL_AH1,0.090,-2.583,-2.363,0.456,-1.757,162.097,-1.376,5.573,5.659,8.881,1.000,43.457,177.219
mL_AH1,0.091,-3.191,-1.709,1.057,-1.703,167.916,-1.110,5.641,5.722,8.985,1.000,43.945,321.973
mL_AH1,0.092,-5.380,-1.020,1.585,-1.648,176.332,-0.844,5.687,5.785,9.072,1.000,44.434,332.066
mL_AH1,0.093,-2.242,-0.298,2.003,-1.593,182.320,-0.580,5.731,5.848,9.231,1.000,44.922,393.112
mL_AH1,0.094,-1.029,0.454,2.280,-1.538,190.961,-0.316,5.755,5.912,9.442,1.000,45.410,274.022
mL_AH1,0.095,2.147,1.233,2.398,-1.483,197.105,-0.054,5.770,5.975,9.320,1.000,45.898,433.531
mL_AH1,0.096,2.855,2.037,2.351,-1.428,205.921,0.207,5.769,6.038,9.873,1.000,46.387,229.795
mL_AH1,0.097,6.706,2.863,2.142,-1.373,212.206,0.466,5.751,6.102,10.176,1.000,46.875,294.437
mL_AH1,0.098,6.250,3.707,1.790,-1.319,221.146,0.725,5.722,6.165,9.936,1.000,47.363,277.081
mL_AH1,0.099,1.854,4.567,1.323,-1.263,227.556,0.982,5.669,6.228,10.118,1.000,47.852,260.815
mL_AH1,0.100,1.627,5.437,0.774,-1.209,236.566,1.238,5.611,6.292,10.296,1.000,48.340,208.354
mL_AH1,0.101,-0.031,6.316,0.183,-1.154,243.083,1.493,5.524,,,1.000,48.828,187.687
mL_AH1,0.102,2.899,7.199,-0.407,-1.100,252.109,1.746,5.434,,,1.000,49.316,182.725
mL_AH1,0.103,4.521,8.082,-0.957,-1.044,258.712,1.999,5.317,,,1.000,49.805,240.468
mL_AH1,0.104,5.132,8.961,-1.432,-0.991,267.698,2.250,5.197,,,1.000,50.293,125.664
mL_AH1,0.105,6.027,9.833,-1.802,-0.935,274.367,2.500,5.056,,,1.000,50.781,186.363
mL_AH1,0.106,3.072,10.694,-2.047,-0.882,283.257,2.749,4.910,,,1.000,51.270,310.174
mL_AH1,0.107,4.509,11.539,-2.156,-0.826,289.968,2.997,4.749,,,1.000,51.758,436.343
mL_AH1,0.108,2.872,12.365,-2.130,-0.774,298.706,-3.041,4.582,,,1.000,52.246,184.335
mL_AH1,0.109,2.887,13.168,-1.976,-0.718,305.435,-2.796,4.410,,,1.000,52.734,42.901
mL_AH1,0.110,7.611,13.943,-1.711,-0.665,313.967,-2.554,4.229,,,1.000,53.223,99.324
mL_AH1,0.111,8.632,14.688,-1.359,-0.609,320.688,-2.312,4.050,,,1.000,53.711,259.916
mL_AH1,0.112,9.603,15.399,-0.947,-0.557,328.960,-2.073,3.863,,,1.000,54.199,247.859
mL_AH1,0.113,14.495,16.072,-0.504,-0.501,335.646,-1.836,3.683,,,1.000,54.688,289.326
mL_AH1,0.114,15.618,16.703,-0.058,-0.448,343.608,-1.602,3.497,,,1.000,55.176,256.982
mL_AH1,0.115,14.258,17.291,0.363,-0.393,350.229,-1.370,3.322,,,1.000,55.664,233.785
mL_AH1,0.116,12.769,17.830,0.738,-0.341,357.833,-1.141,3.144,,,2.500,0.000,12063.227
mL_AH1,0.117,11.512,18.320,1.051,-0.285,364.360,-0.916,2.979,,,2.500,0.488,9704.925
mL_AH1,0.118,13.167,18.756,1.290,-0.233,371.562,-0.694,2.815,,,2.500,0.977,6643.208
mL_AH1,0.119,12.624,19.137,1.451,-0.177,377.963,-0.476,2.665,,,2.500,1.465,3680.688
mL_AH1,0.120,12.118,19.461,1.534,-0.125,384.722,-0.261,2.522,,,2.500,1.953,3467.468
mL_AH1,0.121,8.728,19.725,1.544,-0.070,390.966,-0.051,2.392,,,2.500,2.441,8795.947
mL_AH1,0.122,5.695,19.928,1.490,-0.018,397.244,0.156,2.274,,,2.500,2.930,4931.742
mL_AH1,0.123,10.071,20.068,1.380,0.038,403.299,0.357,2.169,,,2.500,3.418,2556.227
mL_AH1,0.124,15.893,20.145,1.226,0.089,409.065,0.555,2.082,,,2.500,3.906,1110.682
mL_AH1,0.125,13.662,20.157,1.038,0.145,414.898,0.749,2.008,,,2.500,4.395,2672.126
mL_AH1,0.126,13.079,20.103,0.825,0.196,420.123,0.940,1.956,,,2.500,4.883,2479.415
mL_AH1,0.127,13.424,19.985,0.593,0.251,425.702,1.128,1.916,,,2.500,5.371,1883.097
mL_AH1,0.128,10.758,19.800,0.349,0.303,430.362,1.315,1.901,,,2.500,5.859,2732.716
mL_AH1,0.129,9.054,19.550,0.098,0.358,435.656,1.500,1.900,,,2.500,6.348,1446.909
mL_AH1,0.130,8.291,19.236,-0.158,0.410,439.733,1.685,1.925,,,2.500,6.836,1168.532
mL_AH1,0.131,8.177,18.857,-0.415,0.464,444.710,1.872,1.964,,,2.500,7.324,2251.328
mL_AH1,0.132,12.594,18.416,-0.669,0.516,448.189,2.060,2.028,,,2.500,7.813,1500.888
mL_AH1,0.133,6.823,17.913,-0.913,0.570,452.819,2.251,2.107,,,2.500,8.301,915.358
mL_AH1,0.134,5.175,17.351,-1.140,0.622,455.691,2.445,2.210,,,2.500,8.789,399.257
mL_AH1,0.135,7.404,16.730,-1.340,0.676,459.946,2.643,2.328,,,2.500,9.277,718.179
mL_AH1,0.136,1.147,16.053,-1.501,0.728,462.206,2.844,2.466,,,2.500,9.766,1190.869
mL_AH1,0.137,0.908,15.323,-1.612,0.782,466.058,3.050,2.619,,,2.500,10.254,935.874
mL_AH1,0.138,-0.814,14.542,-1.658,0.833,467.705,-3.024,2.789,,,2.500,10.742,317.668
mL_AH1,0.139,-2.290,13.713,-1.630,0.887,471.128,-2.810,2.974,,,2.500,11.230,726.930
mL_AH1,0.140,0.872,12.839,-1.519,0.939,472.166,-2.593,3.169,,,2.500,11.719,207.523
mL_AH1,0.141,-2.338,11.923,-1.319,0.992,475.138,-2.371,3.379,,,2.500,12.207,1217.844
mL_AH1,0.142,-2.206,10.968,-1.034,1.044,475.575,-2.148,3.594,,,2.500,12.695,914.729
mL_AH1,0.143,-2.926,9.978,-0.670,1.097,478.074,-1.920,3.822,,,2.500,13.184,482.579
mL_AH1,0.144,-5.880,8.956,-0.241,1.149,477.920,-1.691,4.049,,,2.500,13.672,453.728
mL_AH1,0.145,-3.053,7.906,0.232,1.202,479.929,-1.458,4.287,,,2.500,14.160,635.767
mL_AH1,0.146,-7.553,6.833,0.723,1.253,479.200,-1.224,4.517,,,2.500,14.648,507.809
mL_AH1,0.147,-8.033,5.740,1.201,1.306,480.703,-0.987,4.754,,,2.500,15.137,375.876
mL_AH1,0.148,-6.414,4.630,1.634,1.358,479.416,-0.749,4.979,,,2.500,15.625,379.625
mL_AH1,0.149,-7.200,3.508,1.991,1.410,480.401,-0.509,5.203,,,2.500,16.113,596.124
mL_AH1,0.150,-6.789,2.378,2.244,1.462,478.577,-0.268,5.413,,,2.500,16.602,313.277
mL_AH1,0.151,-8.387,1.245,2.368,1.514,479.034,-0.025,5.612,,,2.500,17.090,427.193
mL_AH1,0.152,-10.627,0.111,2.350,1.566,476.696,0.219,5.796,,,2.500,17.578,467.088
mL_AH1,0.153,-15.985,-1.019,2.183,1.617,476.620,0.464,5.960,,,2.500,18.066,287.005
mL_AH1,0.154,-13.589,-2.141,1.874,1.669,473.793,0.710,6.107,,,2.500,18.555,251.178
mL_AH1,0.155,-18.683,-3.251,1.437,1.721,473.182,0.957,6.225,,,2.500,19.043,389.322
mL_AH1,0.156,-20.927,-4.345,0.900,1.773,469.892,1.205,6.325,,,2.500,19.531,413.776
mL_AH1,0.157,-24.971,-5.420,0.296,1.824,468.746,1.453,6.389,,,2.500,20.020,217.039
mL_AH1,0.158,-23.421,-6.472,-0.334,1.876,465.022,1.703,6.434,,,2.500,20.508,137.183
mL_AH1,0.159,-25.016,-7.497,-0.947,1.927,463.347,1.953,6.440,,,2.500,20.996,340.356
mL_AH1,0.160,-20.004,-8.493,-1.500,1.978,459.218,2.204,6.423,,,2.500,21.484,210.683
mL_AH1,0.161,-19.341,-9.456,-1.954,2.029,457.021,2.456,6.369,,,2.500,21.973,221.099
mL_AH1,0.162,-24.675,-10.383,-2.276,2.081,452.518,2.708,6.289,,,2.500,22.461,174.206
mL_AH1,0.163,-24.842,-11.271,-2.445,2.131,449.811,2.962,6.176,,,2.500,22.949,283.119
mL_AH1,0.164,-32.389,-12.118,-2.450,2.183,444.965,-3.068,6.034,,,2.500,23.438,25.049
mL_AH1,0.165,-32.723,-12.921,-2.292,2.233,441.762,-2.813,5.865,,,2.500,23.926,303.332
mL_AH1,0.166,-32.934,-13.678,-1.986,2.284,436.603,-2.558,5.666,,,2.500,24.414,354.419
mL_AH1,0.167,-35.314,-14.388,-1.558,2.334,432.923,-2.302,5.447,,,2.500,24.902,296.326
mL_AH1,0.168,-33.917,-15.047,-1.042,2.386,427.483,-2.045,5.199,,,2.500,25.391,629.579
mL_AH1,0.169,-33.234,-15.655,-0.479,2.435,423.347,-1.788,4.937,,,2.500,25.879,615.157
mL_AH1,0.170,-33.754,-16.211,0.088,2.487,417.656,-1.530,4.651,,,2.500,26.367,179.782
mL_AH1,0.171,-34.938,-16.712,0.616,2.536,413.087,-1.271,4.355,,,2.500,26.855,292.030
mL_AH1,0.172,-29.000,-17.159,1.067,2.587,407.177,-1.011,4.042,,,2.500,27.344,392.115
mL_AH1,0.173,-28.257,-17.551,1.411,2.637,402.201,-0.751,3.724,,,2.500,27.832,368.651
mL_AH1,0.174,-26.330,-17.887,1.627,2.688,396.101,-0.489,3.395,,,2.500,28.320,138.501
mL_AH1,0.175,-24.858,-18.167,1.707,2.736,390.746,-0.226,3.067,,,2.500,28.809,56.364
mL_AH1,0.176,-28.798,-18.392,1.653,2.787,384.486,0.039,2.738,,,2.500,29.297,252.281
mL_AH1,0.177,-30.197,-18.561,1.482,2.836,378.784,0.304,2.413,,,2.500,29.785,125.419
mL_AH1,0.178,-30.437,-18.674,1.216,2.887,372.391,0.574,2.096,,,2.500,30.273,72.149
mL_AH1,0.179,-37.229,-18.734,0.888,2.935,366.373,0.845,1.789,,,2.500,30.762,106.673
mL_AH1,0.180,-38.236,-18.740,0.533,2.986,359.875,1.121,1.500,,,2.500,31.250,381.509
mL_AH1,0.181,-38.809,-18.694,0.186,3.034,353.576,1.402,1.226,,,2.500,31.738,296.977
mL_AH1,0.182,-37.481,-18.597,-0.119,3.084,346.999,1.691,0.977,,,2.500,32.227,87.766
mL_AH1,0.183,-41.024,-18.450,-0.355,3.132,340.452,1.993,0.752,,,2.500,32.715,268.482
mL_AH1,0.184,-39.674,-18.256,-0.503,-3.101,333.822,2.311,0.557,,,2.500,33.203,341.331
mL_AH1,0.185,-36.356,-18.015,-0.555,-3.054,327.064,2.658,0.393,,,2.500,33.691,702.411
mL_AH1,0.186,-30.916,-17.731,-0.512,-3.004,320.405,3.050,0.264,,,2.500,34.180,680.158
mL_AH1,0.187,-28.029,-17.404,-0.386,-2.957,313.472,-2.762,0.173,,,2.500,34.668,206.958
mL_AH1,0.188,-26.425,-17.037,-0.199,-2.907,306.806,-2.180,0.121,,,2.500,35.156,480.575
mL_AH1,0.189,-23.800,-16.633,0.023,-2.860,299.734,-1.503,0.111,,,2.500,35.645,620.711
mL_AH1,0.190,-26.245,-16.194,0.247,-2.811,293.085,-0.858,0.143,,,2.500,36.133,443.730
mL_AH1,0.191,-26.179,-15.722,0.443,-2.765,285.911,-0.332,0.220,,,2.500,36.621,261.435
mL_AH1,0.192,-29.879,-15.220,0.581,-2.716,279.298,0.098,0.341,,,2.500,37.109,84.229
mL_AH1,0.193,-34.313,-14.691,0.636,-2.670,272.058,0.464,0.506,,,2.500,37.598,338.403
mL_AH1,0.194,-36.506,-14.137,0.594,-2.621,265.503,0.795,0.718,,,2.500,38.086,369.640
mL_AH1,0.195,-31.492,-13.561,0.447,-2.575,258.231,1.101,0.972,,,2.500,38.574,159.457
mL_AH1,0.196,-30.768,-12.966,0.201,-2.527,251.752,1.392,1.274,,,2.500,39.063,29.165
mL_AH1,0.197,-27.186,-12.354,-0.130,-2.482,244.484,1.673,1.615,,,2.500,39.551,161.700
mL_AH1,0.198,-25.772,-11.728,-0.520,-2.434,238.099,1.947,2.002,,,2.500,40.039,378.524
mL_AH1,0.199,-23.231,-11.092,-0.937,-2.389,230.869,2.216,2.427,,,2.500,40.527,394.572
mL_AH1,0.200,-23.676,-10.446,-1.343,-2.342,224.595,2.480,2.895,,,2.500,41.016,382.051
mL_AH1,0.201,-19.290,-9.795,-1.698,-2.297,217.433,2.742,3.399,,,2.500,41.504,269.475
mL_AH1,0.202,-19.292,-9.141,-1.966,-2.251,211.287,3.001,3.942,,,2.500,41.992,274.822
mL_AH1,0.203,-24.542,-8.486,-2.111,-2.207,204.225,-3.025,4.519,,,2.500,42.480,317.461
mL_AH1,0.204,-19.856,-7.833,-2.110,-2.161,198.221,-2.770,5.129,,,2.500,42.969,256.249
mL_AH1,0.205,-23.527,-7.183,-1.948,-2.117,191.288,-2.516,5.772,,,2.500,43.457,235.124
mL_AH1,0.206,-22.504,-6.540,-1.621,-2.072,185.441,-2.263,6.441,,,2.500,43.945,372.973
mL_AH1,0.207,-19.620,-5.906,-1.140,-2.028,178.664,-2.011,7.141,,,2.500,44.434,237.009
mL_AH1,0.208,-20.015,-5.282,-0.529,-1.984,172.988,-1.761,7.860,,,2.500,44.922,320.849
mL_AH1,0.209,-15.610,-4.670,0.176,-1.941,166.391,-1.511,8.607,,,2.500,45.410,643.151
mL_AH1,0.210,-17.117,-4.073,0.932,-1.898,160.898,-1.261,9.365,,,2.500,45.898,237.756
mL_AH1,0.211,-13.947,-3.491,1.687,-1.855,154.506,-1.013,10.145,,,2.500,46.387,225.700
mL_AH1,0.212,-11.096,-2.927,2.386,-1.813,149.206,-0.764,10.931,,,2.500,46.875,252.472
mL_AH1,0.213,-9.120,-2.382,2.977,-1.771,143.039,-0.517,11.731,,,2.500,47.363,203.319
mL_AH1,0.214,-7.707,-1.857,3.412,-1.730,137.945,-0.270,12.532,,,2.500,47.852,265.619
mL_AH1,0.215,-7.195,-1.353,3.651,-1.689,132.021,-0.023,13.335,,,2.500,48.340,286.548
mL_AH1,0.216,-4.411,-0.871,3.667,-1.648,127.143,0.223,14.135,,,2.500,48.828,227.733
mL_AH1,0.217,-6.366,-0.412,3.447,-1.608,121.478,0.469,14.926,,,2.500,49.316,194.527
mL_AH1,0.218,-5.799,0.023,2.995,-1.569,116.825,0.714,15.709,,,2.500,49.805,210.593
mL_AH1,0.219,-7.354,0.434,2.329,-1.530,111.433,0.959,16.471,,,2.500,50.293,299.637
mL_AH1,0.220,-9.508,0.820,1.486,-1.491,107.013,1.205,17.221,,,2.500,50.781,369.429
mL_AH1,0.221,-9.032,1.182,0.513,-1.453,101.905,1.449,17.939,,,2.500,51.270,368.516
mL_AH1,0.222,-9.663,1.518,-0.530,-1.417,97.725,1.694,18.639,,,2.500,51.758,227.185
mL_AH1,0.223,-10.144,1.830,-1.578,-1.380,92.912,1.938,19.299,,,2.500,52.246,204.709
mL_AH1,0.224,-8.319,2.117,-2.564,-1.344,88.977,2.183,19.935,,,2.500,52.734,118.317
mL_AH1,0.225,-2.537,2.379,-3.422,-1.309,84.465,2.427,20.525,,,2.500,53.223,311.288
mL_AH1,0.226,-5.931,2.617,-4.092,-1.275,80.782,2.671,21.082,,,2.500,53.711,196.910
mL_AH1,0.227,-8.324,2.832,-4.528,-1.241,76.576,2.915,21.592,,,2.500,54.199,255.599
mL_AH1,0.228,-5.367,3.023,-4.696,-1.210,73.149,-3.124,22.060,,,2.500,54.688,211.164
mL_AH1,0.229,-4.043,3.192,-4.580,-1.177,69.251,-2.880,22.481,,,2.500,55.176,295.075
mL_AH1,0.230,-6.053,3.340,-4.183,-1.147,66.082,-2.636,22.850,,,2.500,55.664,282.754
mL_AH1,0.231,-8.700,3.467,-3.525,-1.117,62.494,-2.392,23.173,,,4.000,0.000,2278.251
mL_AH1,0.232,-6.652,3.574,-2.644,-1.089,59.587,-2.148,23.437,,,4.000,0.488,1947.244
mL_AH1,0.233,-3.112,3.663,-1.593,-1.061,56.308,-1.904,23.656,,,4.000,0.977,1842.455
mL_AH1,0.234,1.263,3.735,-0.437,-1.036,53.663,-1.661,23.811,,,4.000,1.465,3895.641
mL_AH1,0.235,2.837,3.790,0.751,-1.010,50.690,-1.417,23.919,,,4.000,1.953,3767.051
mL_AH1,0.236,3.774,3.830,1.898,-0.987,48.307,-1.173,23.961,,,4.000,2.441,5968.877
