Electrode,rawTimeSeries-NoLineNoise,bpThetaTimeSeries,bpGammaTimeSeries,thetaAngle,thetaPower,gammaAngle,gammaPower,Time
mL_AH1,0.336924033,7.164762229,0.973106639,0.056088692,51.49565028,-0.768966174,1.833623735,0.049
mL_AH1,-0.405935791,7.179506958,1.296863804,0.094156408,52.00500601,-0.538383006,2.281753726,0.05
mL_AH1,-9.008151514,7.185620205,1.589958077,0.132418942,52.54920308,-0.304617266,2.777853666,0.051
mL_AH1,-5.447554328,7.182656246,1.817703143,0.170940197,53.12791557,-0.06845989,3.319578481,0.052
mL_AH1,-8.739040934,7.170144544,1.947539384,0.209686443,53.73937993,0.169515832,3.90402373,0.053
mL_AH1,-6.861301832,7.14759471,1.952386976,0.248717452,54.38349295,0.408927594,4.527666595,0.054
mL_AH1,-4.536363196,7.114501813,1.813693419,0.28799769,55.05791804,0.64947136,5.186343903,0.055
mL_AH1,-8.662281861,7.070352005,1.523876254,0.327582493,55.76279267,0.890939825,5.875409323,0.056
mL_AH1,-6.838352818,7.014628404,1.087903877,0.367434902,56.49520826,1.133156321,6.589505856,0.057
mL_AH1,-4.89517597,6.946817183,0.523824876,0.407605629,57.25556133,1.375994649,7.32297091,0.058
mL_AH1,-4.737805088,6.866413822,-0.137855944,0.448056744,58.04037569,1.619344758,8.069410537,0.059
mL_AH1,-1.804488311,6.772929448,-0.855955686,0.488834246,58.85032524,1.863119377,8.822312212,0.06
mL_AH1,-1.71094586,6.665897222,-1.581441026,0.529899739,59.68137452,2.107245409,9.574501188,0.061
mL_AH1,3.05024372,6.544878708,-2.261100318,0.571294498,60.53449217,2.351654248,10.31884816,0.062
mL_AH1,-0.036510126,6.409470155,-2.84176914,0.612980191,61.40509628,2.596293266,11.04774797,0.063
mL_AH1,-3.445857608,6.259308656,-3.274755602,0.654993404,62.29446567,2.841102545,11.75376099,0.064
mL_AH1,-11.32415727,6.094078107,-3.520079275,0.697296409,63.19748962,3.086039598,12.42927717,0.065
mL_AH1,-21.99943558,5.913514928,-3.550139818,0.739921169,64.11576975,-2.952136945,13.06692519,0.066
mL_AH1,-26.83283903,5.717413484,-3.352469641,0.782831075,65.04368949,-2.707095882,13.65955704,0.067
mL_AH1,-22.96970038,5.505631167,-2.931297219,0.826053548,65.98318247,-2.462077004,14.20030413,0.068
mL_AH1,-15.59560123,5.27809309,-2.307748298,0.86955357,66.92815538,-2.217121737,14.68294259,0.069
mL_AH1,-8.347699417,5.034796338,-1.518632318,0.913354108,67.88087961,-1.972284307,15.10156231,0.07
mL_AH1,-6.206934872,4.775813741,-0.613889573,0.957422161,68.83482144,-1.727612034,15.45127237,0.071
mL_AH1,-4.117618646,4.501297115,0.347101658,1.001776319,69.79259256,-1.483160409,15.72755412,0.072
mL_AH1,-10.61152272,4.211479929,1.300051947,1.046385979,70.74726315,-1.238985904,15.9271698,0.073
mL_AH1,-7.603830614,3.906679368,2.180736057,1.091265436,71.70178416,-0.995147798,16.04736071,0.074
mL_AH1,-9.15604762,3.58729774,2.92998738,1.136386815,72.64888197,-0.751714774,16.0867585,0.075
mL_AH1,-6.560902202,3.253823214,3.498277924,1.181760197,73.59184164,-0.508753826,16.04463339,0.076
mL_AH1,-2.732492268,2.906829871,3.849486617,1.227360717,74.52310546,-0.266349056,15.9215958,0.077
mL_AH1,-3.920488463,2.546977034,3.963532288,1.273194339,75.44628251,-0.024580664,15.7190839,0.078
mL_AH1,1.20005184,2.175007895,3.837651637,1.319239442,76.35359732,0.216448019,15.43968976,0.079
mL_AH1,-2.237744257,1.791747426,3.486227115,1.365497968,77.24896733,0.456636367,15.08700541,0.08
mL_AH1,-7.932855129,1.398099586,2.93920277,1.411951738,78.12447092,0.695856684,14.66550028,0.081
mL_AH1,-10.50218576,0.995043851,2.239254997,1.458598782,78.98431183,0.933978651,14.18074411,0.082
mL_AH1,-13.61424267,0.583631081,1.437996956,1.505424508,79.82049764,1.170842735,13.63887261,0.083
mL_AH1,-23.0030455,0.164978785,0.591579395,1.552423159,80.63748928,1.40627702,13.04710527,0.084
mL_AH1,-26.80095969,-0.259734199,-0.243901642,1.599583837,81.42730081,1.640079066,12.4129313,0.085
mL_AH1,-25.94083205,-0.689273539,-1.016772414,1.646897123,82.1946138,1.87202003,11.74477014,0.086
mL_AH1,-27.65622607,-1.122355707,-1.683540181,1.694355875,82.93152659,2.101838629,11.051063,0.087
mL_AH1,-21.85422347,-1.557654683,-2.211729062,1.741947151,83.64289764,2.329229667,10.34090178,0.088
mL_AH1,-24.66259846,-1.993809007,-2.581578519,1.789667577,84.32098677,2.553851717,9.623211761,0.089
mL_AH1,-23.64506526,-2.429429113,-2.786507548,1.83750083,84.97077938,2.775300481,8.907202406,0.09
mL_AH1,-24.29789596,-2.863104882,-2.83237133,1.885447274,85.58477258,2.993130355,8.201778938,0.091
mL_AH1,-25.86517663,-3.293413356,-2.735653928,1.93348735,86.16802378,-3.076367422,7.515731506,0.092
mL_AH1,-23.29996731,-3.718926546,-2.520839176,1.981625089,86.71334106,-2.867386953,6.857438874,0.093
mL_AH1,-28.16849094,-4.138219275,-2.217272553,2.029837856,87.22579529,-2.663752869,6.234787064,0.094
mL_AH1,-29.41763458,-4.549877001,-1.855863216,2.078133233,87.69857617,-2.466120178,5.655154556,0.095
mL_AH1,-28.25554801,-4.952503541,-1.465974668,2.126485678,88.13670709,-2.275163985,5.125113623,0.096
mL_AH1,-29.26351006,-5.344728664,-1.072815851,2.174906179,88.53382606,-2.091479031,4.650634736,0.097
mL_AH1,-28.30795981,-5.725215483,-0.69557654,2.223366469,88.89484702,-1.915518362,4.236656969,0.098
mL_AH1,-23.71039434,-6.09266759,-0.346459643,2.271880761,89.21391809,-1.747433501,3.8874298,0.099
mL_AH1,-26.36632565,-6.445835906,-0.030658382,2.320418258,89.49578209,-1.586941876,3.606040259,0.1
mL_AH1,-31.92234351,-6.783525179,0.252780244,2.368996192,89.73515336,-1.43316837,3.39481975,0.101
mL_AH1,-32.13466743,-7.104600098,0.509361716,2.417581442,89.93654348,-1.284573716,3.254894404,0.102
mL_AH1,-32.6364715,-7.407990996,0.747053697,2.466194029,90.09528275,-1.139011712,3.186608519,0.103
mL_AH1,-31.92003941,-7.692699086,0.973983156,2.514798728,90.21559414,-0.993930398,3.189136272,0.104
mL_AH1,-30.38754827,-7.95780122,1.196222414,2.563418093,90.29346645,-0.846731135,3.260894445,0.105
mL_AH1,-35.7975484,-8.202454142,1.415949202,2.612015032,90.33278048,-0.695095018,3.399233454,0.106
mL_AH1,-36.53967762,-8.425898211,1.63021768,2.660614357,90.33021828,-0.537283003,3.600819178,0.107
mL_AH1,-33.99786321,-8.627460578,1.830503228,2.709177352,90.28926974,-0.372197246,3.861417896,0.108
mL_AH1,-31.10757734,-8.806557824,2.003091956,2.757730797,90.20733688,-0.199389328,4.176218973,0.109
mL_AH1,-25.79498892,-8.96269803,2.13028648,2.806234602,90.08747578,-0.0188786,4.539738264,0.11
mL_AH1,-25.42916694,-9.095482305,2.192303501,2.854717204,89.92782699,0.168950505,4.946037486,0.111
mL_AH1,-27.08494174,-9.20460575,2.169656653,2.903137406,89.73097682,0.363542813,5.388781717,0.112
mL_AH1,-23.97491556,-9.289857899,2.045758786,2.951524976,89.49581508,0.564228706,5.861301797,0.113
mL_AH1,-25.25265275,-9.351122617,1.809447706,2.999837872,89.22443015,0.770344288,6.356840738,0.114
mL_AH1,-26.35804342,-9.388377485,1.457141309,3.048106862,88.91646435,0.98123293,6.868416184,0.115
mL_AH1,-28.00790236,-9.401692692,0.994361733,3.096289334,88.57348856,1.196304121,7.389268706,0.116
mL_AH1,-28.7447532,-9.391229428,0.436429772,-3.13876859,88.19589356,1.415015129,7.912516434,0.117
mL_AH1,-29.25851287,-9.35723782,-0.19178622,-3.090739197,87.78472178,1.63689217,8.431775203,0.118
mL_AH1,-32.2425946,-9.300054415,-0.857087141,-3.042776044,87.34110134,1.861516655,8.940649997,0.119
mL_AH1,-32.61909633,-9.220099231,-1.520047677,-2.994922027,86.86554364,2.088522127,9.433444078,0.12
mL_AH1,-34.16172465,-9.1178724,-2.137839739,-2.947145408,86.35989579,2.317594819,9.904585736,0.121
mL_AH1,-37.40666009,-8.993950426,-2.667531823,-2.899488777,85.82414338,2.548453619,10.34929931,0.122
mL_AH1,-39.39839022,-8.848982072,-3.069570963,-2.85192073,85.26082687,2.780865477,10.76310097,0.123
mL_AH1,-42.16147729,-8.683683918,-3.311132469,-2.80448324,84.66941805,3.014614226,11.14228766,0.124
mL_AH1,-41.54482696,-8.498835606,-3.369031615,-2.757145547,84.05311786,-3.033658822,11.48363638,0.125
mL_AH1,-40.67824363,-8.29527481,-3.231929831,-2.709948688,83.41090209,-2.797749691,11.78458916,0.126
mL_AH1,-33.21730377,-8.07389196,-2.901631347,-2.662862839,82.74659195,-2.560973844,12.04325125,0.127
mL_AH1,-34.60436626,-7.835624763,-2.393348135,-2.615927778,82.05868979,-2.323459164,12.2582104,0.128
mL_AH1,-25.62014405,-7.581452558,-1.734902987,-2.569114896,81.35159013,-2.085304803,12.4288592,0.129
mL_AH1,-26.07917611,-7.312390549,-0.964933587,-2.522462388,80.62334828,-1.846607327,12.55487079,0.13
mL_AH1,-26.43069992,-7.02948396,-0.130245693,-2.475943124,79.87887922,-1.607443649,12.63678759,0.131
mL_AH1,-27.52179177,-6.733802159,0.717466591,-2.429593399,79.1158211,-1.367884406,12.67526014,0.132
mL_AH1,-31.29179379,-6.42643278,1.525266732,-2.383387809,78.33955189,-1.127990222,12.67177204,0.133
mL_AH1,-26.81580178,-6.108475911,2.242697018,-2.33736044,77.54732569,-0.887810079,12.62780894,0.134
mL_AH1,-30.60972271,-5.781038358,2.825285599,-2.291487843,76.74492278,-0.64739192,12.54554889,0.135
mL_AH1,-29.6762203,-5.445228043,3.237575239,-2.245801598,75.92924915,-0.406766734,12.42714642,0.136
mL_AH1,-25.4212689,-5.102148563,3.455455887,-2.200280424,75.10642473,-0.165971433,12.27522151,0.137
mL_AH1,-24.20886248,-4.752893945,3.467645097,-2.154953101,74.27304561,0.074977728,12.09241467,0.138
mL_AH1,-28.32059755,-4.398543622,3.276231922,-2.109800706,73.43550781,0.316054767,11.88155551,0.139
mL_AH1,-28.87770929,-4.040157673,2.896274772,-2.06484894,72.59013735,0.557255297,11.64557725,0.14
mL_AH1,-27.35607054,-3.678772334,2.354515361,-2.020081405,71.74354291,0.798565182,11.38732476,0.141
mL_AH1,-28.925874,-3.315395817,1.687333689,-1.975520452,70.89182123,1.039989506,11.10982931,0.142
mL_AH1,-30.97979947,-2.951004444,0.938118402,-1.931152342,70.04173118,1.281527293,10.81580411,0.143
mL_AH1,-30.7076065,-2.586539126,0.15425989,-1.886995825,69.1891814,1.523191281,10.50819573,0.144
mL_AH1,-25.91310417,-2.222902187,-0.616011305,-1.843039926,68.3410202,1.764994746,10.18948853,0.145
mL_AH1,-25.63782696,-1.860954558,-1.326720342,-1.799299549,67.49300882,2.006956963,9.862388586,0.146
mL_AH1,-26.19793997,-1.501513335,-1.936975711,-1.755766556,66.65202651,2.249105813,9.529099376,0.147
mL_AH1,-22.68941042,-1.145349724,-2.413356889,-1.712451778,65.81372676,2.491466754,9.191971577,0.148
mL_AH1,-21.92066874,-0.79318737,-2.731730304,-1.669349954,64.98496389,2.734081565,8.852911557,0.149
mL_AH1,-23.66501434,-0.445701064,-2.878407378,-1.626467629,64.16132156,2.976982272,8.513849024,0.15
mL_AH1,-23.65994181,-0.103515846,-2.850605673,-1.583802431,63.34957645,-3.062962593,8.176400727,0.151
mL_AH1,-25.7345579,0.232793518,-2.656219843,-1.541356425,62.54527828,-2.819342856,7.842060526,0.152
mL_AH1,-23.59108191,0.562702685,-2.312950518,-1.49913011,61.75507691,-2.575280729,7.512174836,0.153
mL_AH1,-25.56973521,0.885737517,-1.846874457,-1.457120905,60.97452176,-2.330727896,7.187831423,0.154
mL_AH1,-22.70348355,1.201473512,-1.290566922,-1.415332129,60.21009057,-2.085615419,6.870128212,0.155
mL_AH1,-23.89915999,1.509534899,-0.680906652,-1.373756414,59.45736362,-1.839885236,6.559809516,0.156
mL_AH1,-21.72117641,1.809593405,-0.056704801,-1.332399829,58.72260525,-1.59346615,6.2577443,0.157
mL_AH1,-20.63900134,2.101366729,0.543697887,-1.291250111,58.0014551,-1.346290209,5.964414403,0.158
mL_AH1,-23.17739864,2.384616721,1.084726065,-1.250315983,57.29992681,-1.098287275,5.680476692,0.159
mL_AH1,-21.83566531,2.659147298,1.53562871,-1.209580212,56.61374514,-0.849380813,5.406235024,0.16
mL_AH1,-18.26885981,2.924802124,1.872190977,-1.169054066,55.94863954,-0.59950448,5.142150996,0.161
mL_AH1,-23.17232752,3.181462065,2.078009959,-1.128715314,55.30044282,-0.348576382,4.888425418,0.162
mL_AH1,-17.15237559,3.429042447,2.145271118,-1.088577648,54.67457041,-0.09653601,4.645344759,0.163
mL_AH1,-11.70675936,3.667490155,2.074990633,-1.048613854,54.06698328,0.156698548,4.413062373,0.164
mL_AH1,-10.87932609,3.896780574,1.876719009,-1.008839928,53.48275646,0.411180433,4.19171503,0.165
mL_AH1,-11.69512375,4.116914425,1.5677317,-0.969223751,52.91799651,0.666984261,3.981439409,0.166
mL_AH1,-11.81334888,4.327914501,1.171762036,-0.929783502,52.37741477,0.924154209,3.782252801,0.167
mL_AH1,-13.81094686,4.529822354,0.717358614,-0.8904823,51.85727854,1.182748755,3.594280699,0.168
mL_AH1,-18.37826875,4.722694943,0.235972059,-0.851340408,51.36191523,1.442800511,3.417453306,0.169
mL_AH1,-19.32191678,4.906601299,-0.2401072,-0.812316389,50.88776618,1.704342133,3.251870196,0.17
mL_AH1,-18.31687187,5.081619212,-0.679829077,-0.773432514,50.43875787,1.967389976,3.097405761,0.171
mL_AH1,-18.5998459,5.247832003,-1.055349792,-0.734643078,50.01151788,2.231941347,2.954108208,0.172
mL_AH1,-18.17860748,5.40532539,-1.343759236,-0.6959723,49.60955793,2.497988988,2.821822988,0.173
mL_AH1,-18.91449583,5.554184495,-1.528461305,-0.657370564,49.22970364,2.765486967,2.700521717,0.174
mL_AH1,-18.97452701,5.69449101,-1.600122202,-0.618864001,48.87504132,3.034395034,2.590040238,0.175
mL_AH1,-18.96162567,5.826320558,-1.557130769,-0.580399505,48.54260626,-2.978565565,2.490257597,0.176
mL_AH1,-15.42631201,5.949740258,-1.40554775,-0.542005098,48.23505156,-2.70710653,2.401009206,0.177
mL_AH1,-15.05258316,6.064806539,-1.158555076,-0.503624656,47.94963398,-2.434552644,2.322079735,0.178
mL_AH1,-13.55748952,6.171563197,-0.835449331,-0.465288075,47.68856796,-2.161033341,2.25330223,0.179
mL_AH1,-10.6922468,6.27003972,-0.460253116,-0.426936726,47.44934361,-1.886725409,2.19437978,0.18
mL_AH1,-10.04535716,6.360249896,-0.060042022,-0.388602359,47.23373328,-1.611802577,2.145131574,0.181
mL_AH1,-9.683045983,6.442190703,0.336898322,-0.350224382,47.03947217,-1.336463127,2.105203031,0.182
mL_AH1,-8.891660156,6.515841499,0.70296204,-0.311836364,46.86788848,-1.060912299,2.074382258,0.183
mL_AH1,-8.946026351,6.581163502,1.013036418,-0.273376305,46.71697417,-0.785349464,2.05228568,0.184
mL_AH1,-10.32188775,6.63809958,1.246123707,-0.234879536,46.58761226,-0.509989951,2.038652415,0.185
mL_AH1,-11.4156308,6.686574335,1.386671246,-0.196283213,46.47806272,-0.235013788,2.033095873,0.186
mL_AH1,-8.245621035,6.726494484,1.425530811,-0.157624344,46.38876337,0.039378842,2.035292577,0.187
mL_AH1,-9.052602762,6.757749545,1.360493204,-0.118839793,46.31825311,0.313042822,2.044869588,0.188
mL_AH1,-13.09952289,6.780212804,1.196371549,-0.079968128,46.26652539,0.585815738,2.061435107,0.189
mL_AH1,-10.99094517,6.79374257,0.944634841,-0.040946458,46.23240863,0.857595018,2.084632963,0.19
mL_AH1,-11.12759925,6.798183702,0.622620301,-0.001814756,46.21545385,1.128270743,2.114006466,0.191
mL_AH1,-11.34975146,6.793369397,0.252377653,0.03748911,46.21478915,1.397782495,2.149204971,0.192
mL_AH1,-10.96855972,6.779123229,-0.140780715,0.076923962,46.2295264,1.666077338,2.189718332,0.193
mL_AH1,-8.673122207,6.755261412,-0.529933397,0.116550686,46.25910309,1.933131018,2.235178831,0.194
mL_AH1,-10.42493222,6.721595285,-0.888305927,0.15632714,46.30219674,2.198942656,2.285039204,0.195
mL_AH1,-7.782662519,6.677933981,-1.191021826,0.196312521,46.35856331,2.463515917,2.338886653,0.196
mL_AH1,-9.221685097,6.624087264,-1.416741457,0.236464002,46.42645259,2.726890471,2.39615373,0.197
mL_AH1,-7.10580985,6.559868517,-1.549087012,0.276838682,46.50594708,2.989090095,2.456356629,0.198
mL_AH1,-3.858057817,6.48509784,-1.57776305,0.31739337,46.59487748,-3.033004929,2.518921026,0.199
mL_AH1,-7.551110635,6.399605238,-1.49929831,0.358182697,46.69365958,-2.772986202,2.583275648,0.2
mL_AH1,-11.35789501,6.303233881,-1.317355426,0.399163463,46.79971584,-2.513962179,2.648846211,0.201
mL_AH1,-8.576992548,6.19584338,-1.042580032,0.440387498,46.91380035,-2.255885418,2.714972753,0.202
mL_AH1,-11.99076081,6.077313084,-0.691988375,0.481811969,47.03294067,-1.998680185,2.781081135,0.203
mL_AH1,-6.256638892,5.947545339,-0.287921908,0.523485607,47.15823203,-1.7422926,2.846439143,0.204
mL_AH1,-7.961529148,5.8064687,0.143373506,0.565366338,47.28632323,-1.486656801,2.910467785,0.205
mL_AH1,-10.14089191,5.654041051,0.573458863,0.607499528,47.41865117,-1.231715389,2.972394931,0.206
mL_AH1,-10.05554683,5.490252617,0.97359581,0.649844265,47.55150513,-0.977417126,3.031630432,0.207
mL_AH1,-7.596739497,5.315128824,1.316698013,0.692442304,47.68666147,-0.723704355,3.087405588,0.208
mL_AH1,-4.898169727,5.128732986,1.579206108,0.7352543,47.82007265,-0.470541583,3.139117112,0.209
mL_AH1,-7.838441806,4.931168787,1.742752338,0.778318183,47.95384933,-0.217874668,3.186047388,0.21
mL_AH1,-1.82405747,4.722582536,1.795491081,0.82159657,48.08363335,0.034317876,3.227587915,0.211
mL_AH1,-3.842357575,4.503165152,1.732991402,0.865123376,48.21186126,0.286082671,3.263116653,0.212
mL_AH1,-6.4618909,4.273153876,1.558616795,0.908863563,48.33389403,0.537430691,3.292041138,0.213
mL_AH1,-2.49389718,4.032833673,1.283353485,0.952846862,48.45248205,0.788397325,3.313869878,0.214
mL_AH1,-0.699810212,3.782538306,0.925089482,0.997040952,48.56273863,1.038987087,3.328061428,0.215
mL_AH1,-1.987532697,3.522651067,0.507388844,1.041471231,48.66771189,1.289221299,3.334276791,0.216
mL_AH1,-4.842111758,3.253605159,0.057845802,1.086108443,48.7623039,1.539101569,3.332071016,0.217
mL_AH1,-7.195149389,2.975883706,-0.393862059,1.130973521,48.8498402,1.788633769,3.321266169,0.218
mL_AH1,-11.08830237,2.690019389,-0.818076505,1.176040593,48.92505087,2.03781891,3.301562608,0.219
mL_AH1,-9.67664663,2.396593716,-1.187257869,1.22132602,48.99151421,2.286647772,3.272940525,0.22
mL_AH1,-9.068341888,2.09623591,-1.477920079,1.266807592,49.04383016,2.535121354,3.235288169,0.221
mL_AH1,-9.936349063,1.789621431,-1.672253035,1.312497005,49.08580092,2.783217316,3.188733182,0.222
mL_AH1,-10.0587771,1.477470135,-1.759308736,1.358375958,49.11194053,3.030935366,3.133379216,0.223
mL_AH1,-10.47365978,1.160544065,-1.735662979,1.404451393,49.12624248,-3.004942163,3.069487731,0.224
mL_AH1,-8.691353328,0.83964491,-1.605507289,1.450709121,49.12318139,-2.758049119,2.997384242,0.225
mL_AH1,-7.749666777,0.515611114,-1.380172278,1.497151266,49.1069062,-2.511609616,2.917450965,0.226
mL_AH1,-5.434902508,0.189314666,-1.077129705,1.543767904,49.07190067,-2.265636201,2.830218378,0.227
mL_AH1,-2.858941014,-0.13834242,-0.718562103,1.590556293,49.02243089,-2.020170949,2.736177871,0.228
mL_AH1,-6.88825914,-0.466431911,-0.329622204,1.637510888,48.9530399,-1.7752388,2.636026749,0.229
mL_AH1,-5.394911283,-0.794003448,0.06347319,1.684624047,48.86807076,-1.530883271,2.530354205,0.23
mL_AH1,-5.828542487,-1.120088875,0.435360681,1.731894674,48.76217712,-1.28714586,2.419971376,0.231
mL_AH1,-2.064396775,-1.443706807,0.763308539,1.779310227,48.63973751,-1.044071926,2.305551494,0.232
mL_AH1,-3.236566939,-1.763867393,1.028721529,1.826874087,48.49556789,-0.801723198,2.187960331,0.233
mL_AH1,-6.131954706,-2.079577251,1.218265151,1.87456883,48.33404006,-0.560150216,2.067935855,0.234
mL_AH1,-4.287399295,-2.38984455,1.324537432,1.922402305,48.15018349,-0.319438231,1.946341556,0.235
mL_AH1,-5.69143106,-2.693684188,1.346256422,1.970352261,47.94832083,-0.079649932,1.823953267,0.236
mL_AH1,-6.051110024,-2.990123051,1.287972722,2.018430962,47.72374487,0.159102171,1.701584575,0.237
mL_AH1,-3.168262017,-3.278205301,1.159354878,2.066611414,47.48068709,0.396731865,1.580015328,0.238
mL_AH1,-6.828485739,-3.55699766,0.97412824,2.114910208,47.214751,0.633093493,1.459975147,0.239
mL_AH1,-11.38723134,-3.825594651,0.748772145,2.16329572,46.93003573,0.868060372,1.342210099,0.24
mL_AH1,-10.65449758,-4.083123751,0.501094504,2.211788746,46.62249961,1.101442693,1.227346165,0.241
mL_AH1,-10.05956701,-4.328750421,0.248806125,2.260353177,46.29606975,1.333048461,1.11605872,0.242
mL_AH1,-8.29979922,-4.561682972,0.008209778,2.309013847,45.94709922,1.5626226,1.008863156,0.243
mL_AH1,-4.801203181,-4.781177223,-0.206897745,2.35773034,45.57930552,1.789870454,0.906333955,0.244
mL_AH1,-4.099471003,-4.98654092,-0.386036368,2.406531328,45.18947141,2.014432488,0.808878809,0.245
mL_AH1,-5.164869185,-5.177137883,-0.522520755,2.455372292,44.78107007,2.235853271,0.716952611,0.246
mL_AH1,-2.941788461,-5.352391836,-0.613590646,2.504285498,44.35134343,2.453599427,0.630864254,0.247
mL_AH1,-8.666856103,-5.511789907,-0.660208142,2.553222561,43.90348908,2.666962651,0.550943517,0.248
